[0] reg4 = 103548; prev reg4 = -1
[2534] reg4 = 80869; prev reg4 = 3681367
[2535] reg4 = 2313054; prev reg4 = 80869
[2536] reg4 = 3503967; prev reg4 = 2313054
[2537] reg4 = 7136516; prev reg4 = 3503967
[2538] reg4 = 12324457; prev reg4 = 7136516
[2539] reg4 = 9249593; prev reg4 = 12324457
[2540] reg4 = 2869446; prev reg4 = 9249593
[2541] reg4 = 11557060; prev reg4 = 2869446
[2542] reg4 = 11283760; prev reg4 = 11557060
[2543] reg4 = 9458293; prev reg4 = 11283760
[2544] reg4 = 16511453; prev reg4 = 9458293
[2545] reg4 = 9026250; prev reg4 = 16511453
[2546] reg4 = 5384508; prev reg4 = 9026250
[2547] reg4 = 1055703; prev reg4 = 5384508
[2548] reg4 = 15662692; prev reg4 = 1055703
[2549] reg4 = 2730480; prev reg4 = 15662692
[2550] reg4 = 5383973; prev reg4 = 2730480
[2551] reg4 = 15747824; prev reg4 = 5383973
[2552] reg4 = 15876118; prev reg4 = 15747824
[2553] reg4 = 6326532; prev reg4 = 15876118
[2554] reg4 = 983785; prev reg4 = 6326532
[2555] reg4 = 2897235; prev reg4 = 983785
[2556] reg4 = 7983638; prev reg4 = 2897235
[2557] reg4 = 1534344; prev reg4 = 7983638
[2558] reg4 = 4578727; prev reg4 = 1534344
[2559] reg4 = 15468738; prev reg4 = 4578727
[2560] reg4 = 6156238; prev reg4 = 15468738
[2561] reg4 = 15854705; prev reg4 = 6156238
[2562] reg4 = 3845115; prev reg4 = 15854705
[2563] reg4 = 4832686; prev reg4 = 3845115
[2564] reg4 = 1162643; prev reg4 = 4832686
[2565] reg4 = 5648746; prev reg4 = 1162643
[2566] reg4 = 11783733; prev reg4 = 5648746
[2567] reg4 = 8937199; prev reg4 = 11783733
[2568] reg4 = 6620863; prev reg4 = 8937199
[2569] reg4 = 1479819; prev reg4 = 6620863
[2570] reg4 = 10282931; prev reg4 = 1479819
[2571] reg4 = 15660200; prev reg4 = 10282931
[2572] reg4 = 267458; prev reg4 = 15660200
[2573] reg4 = 9750402; prev reg4 = 267458
[2574] reg4 = 16279117; prev reg4 = 9750402
[2575] reg4 = 8539857; prev reg4 = 16279117
[2576] reg4 = 5046515; prev reg4 = 8539857
[2577] reg4 = 15409929; prev reg4 = 5046515
[2578] reg4 = 10550912; prev reg4 = 15409929
[2579] reg4 = 6509674; prev reg4 = 10550912
[2580] reg4 = 4734596; prev reg4 = 6509674
[2581] reg4 = 1850926; prev reg4 = 4734596
[2582] reg4 = 5110760; prev reg4 = 1850926
[2583] reg4 = 8410843; prev reg4 = 5110760
[2584] reg4 = 3911459; prev reg4 = 8410843
[2585] reg4 = 9429642; prev reg4 = 3911459
[2586] reg4 = 14780902; prev reg4 = 9429642
[2587] reg4 = 14301615; prev reg4 = 14780902
[2588] reg4 = 4718984; prev reg4 = 14301615
[2589] reg4 = 11995493; prev reg4 = 4718984
[2590] reg4 = 3906510; prev reg4 = 11995493
[2591] reg4 = 15652743; prev reg4 = 3906510
[2592] reg4 = 15425306; prev reg4 = 15652743
[2593] reg4 = 9716575; prev reg4 = 15425306
[2594] reg4 = 15523728; prev reg4 = 9716575
[2595] reg4 = 13971703; prev reg4 = 15523728
[2596] reg4 = 514013; prev reg4 = 13971703
[2597] reg4 = 10754564; prev reg4 = 514013
[2598] reg4 = 11154718; prev reg4 = 10754564
[2599] reg4 = 16181137; prev reg4 = 11154718
[2600] reg4 = 10760512; prev reg4 = 16181137
[2601] reg4 = 3544881; prev reg4 = 10760512
[2602] reg4 = 9325456; prev reg4 = 3544881
[2603] reg4 = 9771193; prev reg4 = 9325456
[2604] reg4 = 5889963; prev reg4 = 9771193
[2605] reg4 = 12819420; prev reg4 = 5889963
[2606] reg4 = 12297449; prev reg4 = 12819420
[2607] reg4 = 9101897; prev reg4 = 12297449
[2608] reg4 = 10588967; prev reg4 = 9101897
[2609] reg4 = 6920252; prev reg4 = 10588967
[2610] reg4 = 13592896; prev reg4 = 6920252
[2611] reg4 = 10545975; prev reg4 = 13592896
[2612] reg4 = 16272644; prev reg4 = 10545975
[2613] reg4 = 472853; prev reg4 = 16272644
[2614] reg4 = 14042508; prev reg4 = 472853
[2615] reg4 = 12188975; prev reg4 = 14042508
[2616] reg4 = 1686902; prev reg4 = 12188975
[2617] reg4 = 13715291; prev reg4 = 1686902
[2618] reg4 = 7720508; prev reg4 = 13715291
[2619] reg4 = 7081290; prev reg4 = 7720508
[2620] reg4 = 13500675; prev reg4 = 7081290
[2621] reg4 = 12013640; prev reg4 = 13500675
[2622] reg4 = 9922486; prev reg4 = 12013640
[2623] reg4 = 16131231; prev reg4 = 9922486
[2624] reg4 = 6171359; prev reg4 = 16131231
[2625] reg4 = 817261; prev reg4 = 6171359
[2626] reg4 = 6339471; prev reg4 = 817261
[2627] reg4 = 14887964; prev reg4 = 6339471
[2628] reg4 = 9266642; prev reg4 = 14887964
[2629] reg4 = 12855827; prev reg4 = 9266642
[2630] reg4 = 9664235; prev reg4 = 12855827
[2631] reg4 = 10216697; prev reg4 = 9664235
[2632] reg4 = 12134489; prev reg4 = 10216697
[2633] reg4 = 2858791; prev reg4 = 12134489
[2634] reg4 = 1249686; prev reg4 = 2858791
[2635] reg4 = 4519149; prev reg4 = 1249686
[2636] reg4 = 11044371; prev reg4 = 4519149
[2637] reg4 = 1591731; prev reg4 = 11044371
[2638] reg4 = 1608526; prev reg4 = 1591731
[2639] reg4 = 14570049; prev reg4 = 1608526
[2640] reg4 = 5087131; prev reg4 = 14570049
[2641] reg4 = 6887272; prev reg4 = 5087131
[2642] reg4 = 13363275; prev reg4 = 6887272
[2643] reg4 = 16496355; prev reg4 = 13363275
[2644] reg4 = 14566425; prev reg4 = 16496355
[2645] reg4 = 12258437; prev reg4 = 14566425
[2646] reg4 = 6501381; prev reg4 = 12258437
[2647] reg4 = 6093477; prev reg4 = 6501381
[2648] reg4 = 7520537; prev reg4 = 6093477
[2649] reg4 = 13092790; prev reg4 = 7520537
[2650] reg4 = 2584079; prev reg4 = 13092790
[2651] reg4 = 4316857; prev reg4 = 2584079
[2652] reg4 = 1541029; prev reg4 = 4316857
[2653] reg4 = 12786136; prev reg4 = 1541029
[2654] reg4 = 16175531; prev reg4 = 12786136
[2655] reg4 = 9590216; prev reg4 = 16175531
[2656] reg4 = 1665991; prev reg4 = 9590216
[2657] reg4 = 2760284; prev reg4 = 1665991
[2658] reg4 = 3886988; prev reg4 = 2760284
[2659] reg4 = 9255733; prev reg4 = 3886988
[2660] reg4 = 5806290; prev reg4 = 9255733
[2661] reg4 = 9988914; prev reg4 = 5806290
[2662] reg4 = 14063501; prev reg4 = 9988914
[2663] reg4 = 15710404; prev reg4 = 14063501
[2664] reg4 = 15436410; prev reg4 = 15710404
[2665] reg4 = 11491218; prev reg4 = 15436410
[2666] reg4 = 14622571; prev reg4 = 11491218
[2667] reg4 = 1129054; prev reg4 = 14622571
[2668] reg4 = 13315984; prev reg4 = 1129054
[2669] reg4 = 3219857; prev reg4 = 13315984
[2670] reg4 = 13303144; prev reg4 = 3219857
[2671] reg4 = 4253047; prev reg4 = 13303144
[2672] reg4 = 12503374; prev reg4 = 4253047
[2673] reg4 = 14018161; prev reg4 = 12503374
[2674] reg4 = 947185; prev reg4 = 14018161
[2675] reg4 = 11291540; prev reg4 = 947185
[2676] reg4 = 13022351; prev reg4 = 11291540
[2677] reg4 = 6400431; prev reg4 = 13022351
[2678] reg4 = 5145978; prev reg4 = 6400431
[2679] reg4 = 14314689; prev reg4 = 5145978
[2680] reg4 = 11012665; prev reg4 = 14314689
[2681] reg4 = 3124329; prev reg4 = 11012665
[2682] reg4 = 5244941; prev reg4 = 3124329
[2683] reg4 = 5327851; prev reg4 = 5244941
[2684] reg4 = 1118800; prev reg4 = 5327851
[2685] reg4 = 13022750; prev reg4 = 1118800
[2686] reg4 = 15494782; prev reg4 = 13022750
[2687] reg4 = 2391928; prev reg4 = 15494782
[2688] reg4 = 9857079; prev reg4 = 2391928
[2689] reg4 = 6609451; prev reg4 = 9857079
[2690] reg4 = 2717123; prev reg4 = 6609451
[2691] reg4 = 9887482; prev reg4 = 2717123
[2692] reg4 = 11136682; prev reg4 = 9887482
[2693] reg4 = 12016080; prev reg4 = 11136682
[2694] reg4 = 12880975; prev reg4 = 12016080
[2695] reg4 = 6825265; prev reg4 = 12880975
[2696] reg4 = 9484436; prev reg4 = 6825265
[2697] reg4 = 10728864; prev reg4 = 9484436
[2698] reg4 = 6822623; prev reg4 = 10728864
[2699] reg4 = 9853707; prev reg4 = 6822623
[2700] reg4 = 9885826; prev reg4 = 9853707
[2701] reg4 = 5412716; prev reg4 = 9885826
[2702] reg4 = 13276901; prev reg4 = 5412716
[2703] reg4 = 12018063; prev reg4 = 13276901
[2704] reg4 = 4763908; prev reg4 = 12018063
[2705] reg4 = 12013001; prev reg4 = 4763908
[2706] reg4 = 8545630; prev reg4 = 12013001
[2707] reg4 = 8799817; prev reg4 = 8545630
[2708] reg4 = 16508095; prev reg4 = 8799817
[2709] reg4 = 16762283; prev reg4 = 16508095
[2710] reg4 = 8011892; prev reg4 = 16762283
[2711] reg4 = 11584854; prev reg4 = 8011892
[2712] reg4 = 9349707; prev reg4 = 11584854
[2713] reg4 = 7256321; prev reg4 = 9349707
[2714] reg4 = 9372794; prev reg4 = 7256321
[2715] reg4 = 4286536; prev reg4 = 9372794
[2716] reg4 = 6357436; prev reg4 = 4286536
[2717] reg4 = 13364297; prev reg4 = 6357436
[2718] reg4 = 5376289; prev reg4 = 13364297
[2719] reg4 = 9209846; prev reg4 = 5376289
[2720] reg4 = 2327121; prev reg4 = 9209846
[2721] reg4 = 6216935; prev reg4 = 2327121
[2722] reg4 = 6635431; prev reg4 = 6216935
[2723] reg4 = 12224500; prev reg4 = 6635431
[2724] reg4 = 4721381; prev reg4 = 12224500
[2725] reg4 = 1256461; prev reg4 = 4721381
[2726] reg4 = 7558661; prev reg4 = 1256461
[2727] reg4 = 1928679; prev reg4 = 7558661
[2728] reg4 = 7975898; prev reg4 = 1928679
[2729] reg4 = 10994861; prev reg4 = 7975898
[2730] reg4 = 5470617; prev reg4 = 10994861
[2731] reg4 = 5570510; prev reg4 = 5470617
[2732] reg4 = 6950057; prev reg4 = 5570510
[2733] reg4 = 12697153; prev reg4 = 6950057
[2734] reg4 = 5282589; prev reg4 = 12697153
[2735] reg4 = 11051350; prev reg4 = 5282589
[2736] reg4 = 2505967; prev reg4 = 11051350
[2737] reg4 = 5381943; prev reg4 = 2505967
[2738] reg4 = 8893182; prev reg4 = 5381943
[2739] reg4 = 9228666; prev reg4 = 8893182
[2740] reg4 = 3773335; prev reg4 = 9228666
[2741] reg4 = 2189588; prev reg4 = 3773335
[2742] reg4 = 1840697; prev reg4 = 2189588
[2743] reg4 = 12781201; prev reg4 = 1840697
[2744] reg4 = 9798379; prev reg4 = 12781201
[2745] reg4 = 12454011; prev reg4 = 9798379
[2746] reg4 = 14062479; prev reg4 = 12454011
[2747] reg4 = 10053254; prev reg4 = 14062479
[2748] reg4 = 3593516; prev reg4 = 10053254
[2749] reg4 = 13108031; prev reg4 = 3593516
[2750] reg4 = 8712364; prev reg4 = 13108031
[2751] reg4 = 5039324; prev reg4 = 8712364
[2752] reg4 = 14533720; prev reg4 = 5039324
[2753] reg4 = 15507100; prev reg4 = 14533720
[2754] reg4 = 3593186; prev reg4 = 15507100
[2755] reg4 = 9216207; prev reg4 = 3593186
[2756] reg4 = 8271293; prev reg4 = 9216207
[2757] reg4 = 13598906; prev reg4 = 8271293
[2758] reg4 = 5908836; prev reg4 = 13598906
[2759] reg4 = 14324775; prev reg4 = 5908836
[2760] reg4 = 8121651; prev reg4 = 14324775
[2761] reg4 = 7252808; prev reg4 = 8121651
[2762] reg4 = 1571169; prev reg4 = 7252808
[2763] reg4 = 644370; prev reg4 = 1571169
[2764] reg4 = 1794455; prev reg4 = 644370
[2765] reg4 = 13809256; prev reg4 = 1794455
[2766] reg4 = 6303616; prev reg4 = 13809256
[2767] reg4 = 7915027; prev reg4 = 6303616
[2768] reg4 = 15250403; prev reg4 = 7915027
[2769] reg4 = 4465256; prev reg4 = 15250403
[2770] reg4 = 15717170; prev reg4 = 4465256
[2771] reg4 = 15608999; prev reg4 = 15717170
[2772] reg4 = 4003815; prev reg4 = 15608999
[2773] reg4 = 587540; prev reg4 = 4003815
[2774] reg4 = 13989583; prev reg4 = 587540
[2775] reg4 = 5646715; prev reg4 = 13989583
[2776] reg4 = 4610544; prev reg4 = 5646715
[2777] reg4 = 15693791; prev reg4 = 4610544
[2778] reg4 = 9836098; prev reg4 = 15693791
[2779] reg4 = 6910586; prev reg4 = 9836098
[2780] reg4 = 15490532; prev reg4 = 6910586
[2781] reg4 = 12327489; prev reg4 = 15490532
[2782] reg4 = 15390445; prev reg4 = 12327489
[2783] reg4 = 16719815; prev reg4 = 15390445
[2784] reg4 = 15766930; prev reg4 = 16719815
[2785] reg4 = 7480783; prev reg4 = 15766930
[2786] reg4 = 10142204; prev reg4 = 7480783
[2787] reg4 = 4152839; prev reg4 = 10142204
[2788] reg4 = 11727513; prev reg4 = 4152839
[2789] reg4 = 13554015; prev reg4 = 11727513
[2790] reg4 = 16299116; prev reg4 = 13554015
[2791] reg4 = 15323452; prev reg4 = 16299116
[2792] reg4 = 6863345; prev reg4 = 15323452
[2793] reg4 = 1542600; prev reg4 = 6863345
[2794] reg4 = 8210823; prev reg4 = 1542600
[2795] reg4 = 10959574; prev reg4 = 8210823
[2796] reg4 = 11094826; prev reg4 = 10959574
[2797] reg4 = 12547205; prev reg4 = 11094826
[2798] reg4 = 2643161; prev reg4 = 12547205
[2799] reg4 = 2716739; prev reg4 = 2643161
[2800] reg4 = 5288641; prev reg4 = 2716739
[2801] reg4 = 3015969; prev reg4 = 5288641
[2802] reg4 = 543238; prev reg4 = 3015969
[2803] reg4 = 9933632; prev reg4 = 543238
[2804] reg4 = 14224937; prev reg4 = 9933632
[2805] reg4 = 7484973; prev reg4 = 14224937
[2806] reg4 = 14648255; prev reg4 = 7484973
[2807] reg4 = 693726; prev reg4 = 14648255
[2808] reg4 = 16533585; prev reg4 = 693726
[2809] reg4 = 4813851; prev reg4 = 16533585
[2810] reg4 = 11432745; prev reg4 = 4813851
[2811] reg4 = 8457628; prev reg4 = 11432745
[2812] reg4 = 7385077; prev reg4 = 8457628
[2813] reg4 = 12774194; prev reg4 = 7385077
[2814] reg4 = 143259; prev reg4 = 12774194
[2815] reg4 = 10321290; prev reg4 = 143259
[2816] reg4 = 11963075; prev reg4 = 10321290
[2817] reg4 = 14541185; prev reg4 = 11963075
[2818] reg4 = 2897628; prev reg4 = 14541185
[2819] reg4 = 15449402; prev reg4 = 2897628
[2820] reg4 = 8441261; prev reg4 = 15449402
[2821] reg4 = 12934200; prev reg4 = 8441261
[2822] reg4 = 7853836; prev reg4 = 12934200
[2823] reg4 = 1890577; prev reg4 = 7853836
[2824] reg4 = 9088132; prev reg4 = 1890577
[2825] reg4 = 3131202; prev reg4 = 9088132
[2826] reg4 = 5947627; prev reg4 = 3131202
[2827] reg4 = 13917963; prev reg4 = 5947627
[2828] reg4 = 3488592; prev reg4 = 13917963
[2829] reg4 = 8607947; prev reg4 = 3488592
[2830] reg4 = 10482235; prev reg4 = 8607947
[2831] reg4 = 15847049; prev reg4 = 10482235
[2832] reg4 = 6226453; prev reg4 = 15847049
[2833] reg4 = 7746055; prev reg4 = 6226453
[2834] reg4 = 13290037; prev reg4 = 7746055
[2835] reg4 = 4224531; prev reg4 = 13290037
[2836] reg4 = 3115691; prev reg4 = 4224531
[2837] reg4 = 14711009; prev reg4 = 3115691
[2838] reg4 = 6929863; prev reg4 = 14711009
[2839] reg4 = 11235086; prev reg4 = 6929863
[2840] reg4 = 10076235; prev reg4 = 11235086
[2841] reg4 = 590613; prev reg4 = 10076235
[2842] reg4 = 16235214; prev reg4 = 590613
[2843] reg4 = 13907586; prev reg4 = 16235214
[2844] reg4 = 14628420; prev reg4 = 13907586
[2845] reg4 = 12314712; prev reg4 = 14628420
[2846] reg4 = 2805866; prev reg4 = 12314712
[2847] reg4 = 11616440; prev reg4 = 2805866
[2848] reg4 = 3250164; prev reg4 = 11616440
[2849] reg4 = 4027079; prev reg4 = 3250164
[2850] reg4 = 3564663; prev reg4 = 4027079
[2851] reg4 = 14375911; prev reg4 = 3564663
[2852] reg4 = 561218; prev reg4 = 14375911
[2853] reg4 = 13366602; prev reg4 = 561218
[2854] reg4 = 15662581; prev reg4 = 13366602
[2855] reg4 = 1208890; prev reg4 = 15662581
[2856] reg4 = 6213426; prev reg4 = 1208890
[2857] reg4 = 16602515; prev reg4 = 6213426
[2858] reg4 = 8545510; prev reg4 = 16602515
[2859] reg4 = 4411304; prev reg4 = 8545510
[2860] reg4 = 1925025; prev reg4 = 4411304
[2861] reg4 = 5590794; prev reg4 = 1925025
[2862] reg4 = 3112429; prev reg4 = 5590794
[2863] reg4 = 2695906; prev reg4 = 3112429
[2864] reg4 = 2403084; prev reg4 = 2695906
[2865] reg4 = 11136255; prev reg4 = 2403084
[2866] reg4 = 10779629; prev reg4 = 11136255
[2867] reg4 = 15713474; prev reg4 = 10779629
[2868] reg4 = 127616; prev reg4 = 15713474
[2869] reg4 = 10637534; prev reg4 = 127616
[2870] reg4 = 6054908; prev reg4 = 10637534
[2871] reg4 = 11535919; prev reg4 = 6054908
[2872] reg4 = 10949023; prev reg4 = 11535919
[2873] reg4 = 361908; prev reg4 = 10949023
[2874] reg4 = 11136673; prev reg4 = 361908
[2875] reg4 = 9149157; prev reg4 = 11136673
[2876] reg4 = 14094771; prev reg4 = 9149157
[2877] reg4 = 9896000; prev reg4 = 14094771
[2878] reg4 = 13598190; prev reg4 = 9896000
[2879] reg4 = 13558293; prev reg4 = 13598190
[2880] reg4 = 15282871; prev reg4 = 13558293
[2881] reg4 = 9757931; prev reg4 = 15282871
[2882] reg4 = 7279437; prev reg4 = 9757931
[2883] reg4 = 15640872; prev reg4 = 7279437
[2884] reg4 = 5054223; prev reg4 = 15640872
[2885] reg4 = 12533124; prev reg4 = 5054223
[2886] reg4 = 12247751; prev reg4 = 12533124
[2887] reg4 = 3557393; prev reg4 = 12247751
[2888] reg4 = 4933273; prev reg4 = 3557393
[2889] reg4 = 4483483; prev reg4 = 4933273
[2890] reg4 = 13662474; prev reg4 = 4483483
[2891] reg4 = 1875995; prev reg4 = 13662474
[2892] reg4 = 10661009; prev reg4 = 1875995
[2893] reg4 = 8853889; prev reg4 = 10661009
[2894] reg4 = 1285218; prev reg4 = 8853889
[2895] reg4 = 9547396; prev reg4 = 1285218
[2896] reg4 = 15062326; prev reg4 = 9547396
[2897] reg4 = 10982711; prev reg4 = 15062326
[2898] reg4 = 7170912; prev reg4 = 10982711
[2899] reg4 = 9039891; prev reg4 = 7170912
[2900] reg4 = 6896877; prev reg4 = 9039891
[2901] reg4 = 9094183; prev reg4 = 6896877
[2902] reg4 = 11271795; prev reg4 = 9094183
[2903] reg4 = 3027553; prev reg4 = 11271795
[2904] reg4 = 3660107; prev reg4 = 3027553
[2905] reg4 = 12500016; prev reg4 = 3660107
[2906] reg4 = 4976978; prev reg4 = 12500016
[2907] reg4 = 3481641; prev reg4 = 4976978
[2908] reg4 = 16613027; prev reg4 = 3481641
[2909] reg4 = 6855095; prev reg4 = 16613027
[2910] reg4 = 16599002; prev reg4 = 6855095
[2911] reg4 = 743885; prev reg4 = 16599002
[2912] reg4 = 590706; prev reg4 = 743885
[2913] reg4 = 12305653; prev reg4 = 590706
[2914] reg4 = 12946765; prev reg4 = 12305653
[2915] reg4 = 3567428; prev reg4 = 12946765
[2916] reg4 = 2856273; prev reg4 = 3567428
[2917] reg4 = 7281658; prev reg4 = 2856273
[2918] reg4 = 16229127; prev reg4 = 7281658
[2919] reg4 = 10793822; prev reg4 = 16229127
[2920] reg4 = 7949021; prev reg4 = 10793822
[2921] reg4 = 1915845; prev reg4 = 7949021
[2922] reg4 = 10741938; prev reg4 = 1915845
[2923] reg4 = 13116304; prev reg4 = 10741938
[2924] reg4 = 982543; prev reg4 = 13116304
[2925] reg4 = 11224257; prev reg4 = 982543
[2926] reg4 = 12015937; prev reg4 = 11224257
[2927] reg4 = 883186; prev reg4 = 12015937
[2928] reg4 = 12531047; prev reg4 = 883186
[2929] reg4 = 7198616; prev reg4 = 12531047
[2930] reg4 = 12273735; prev reg4 = 7198616
[2931] reg4 = 14056263; prev reg4 = 12273735
[2932] reg4 = 16461270; prev reg4 = 14056263
[2933] reg4 = 368353; prev reg4 = 16461270
[2934] reg4 = 10284361; prev reg4 = 368353
[2935] reg4 = 16501408; prev reg4 = 10284361
[2936] reg4 = 7917780; prev reg4 = 16501408
[2937] reg4 = 190896; prev reg4 = 7917780
[2938] reg4 = 16091843; prev reg4 = 190896
[2939] reg4 = 1849707; prev reg4 = 16091843
[2940] reg4 = 4091410; prev reg4 = 1849707
[2941] reg4 = 6854074; prev reg4 = 4091410
[2942] reg4 = 11260399; prev reg4 = 6854074
[2943] reg4 = 9465872; prev reg4 = 11260399
[2944] reg4 = 6379212; prev reg4 = 9465872
[2945] reg4 = 13801702; prev reg4 = 6379212
[2946] reg4 = 7622316; prev reg4 = 13801702
[2947] reg4 = 9114906; prev reg4 = 7622316
[2948] reg4 = 12775877; prev reg4 = 9114906
[2949] reg4 = 14467994; prev reg4 = 12775877
[2950] reg4 = 5597513; prev reg4 = 14467994
[2951] reg4 = 5373220; prev reg4 = 5597513
[2952] reg4 = 8106605; prev reg4 = 5373220
[2953] reg4 = 12580211; prev reg4 = 8106605
[2954] reg4 = 11155004; prev reg4 = 12580211
[2955] reg4 = 6339588; prev reg4 = 11155004
[2956] reg4 = 1543620; prev reg4 = 6339588
[2957] reg4 = 13230879; prev reg4 = 1543620
[2958] reg4 = 15452204; prev reg4 = 13230879
[2959] reg4 = 8707862; prev reg4 = 15452204
[2960] reg4 = 1809905; prev reg4 = 8707862
[2961] reg4 = 2674418; prev reg4 = 1809905
[2962] reg4 = 9716872; prev reg4 = 2674418
[2963] reg4 = 9186196; prev reg4 = 9716872
[2964] reg4 = 10891279; prev reg4 = 9186196
[2965] reg4 = 7465835; prev reg4 = 10891279
[2966] reg4 = 12896720; prev reg4 = 7465835
[2967] reg4 = 5493017; prev reg4 = 12896720
[2968] reg4 = 2606566; prev reg4 = 5493017
[2969] reg4 = 12571981; prev reg4 = 2606566
[2970] reg4 = 15805130; prev reg4 = 12571981
[2971] reg4 = 3749028; prev reg4 = 15805130
[2972] reg4 = 3643044; prev reg4 = 3749028
[2973] reg4 = 15113888; prev reg4 = 3643044
[2974] reg4 = 4471980; prev reg4 = 15113888
[2975] reg4 = 2793480; prev reg4 = 4471980
[2976] reg4 = 5531202; prev reg4 = 2793480
[2977] reg4 = 11005620; prev reg4 = 5531202
[2978] reg4 = 15069752; prev reg4 = 11005620
[2979] reg4 = 2727122; prev reg4 = 15069752
[2980] reg4 = 13120006; prev reg4 = 2727122
[2981] reg4 = 1597992; prev reg4 = 13120006
[2982] reg4 = 9252430; prev reg4 = 1597992
[2983] reg4 = 14285192; prev reg4 = 9252430
[2984] reg4 = 9074893; prev reg4 = 14285192
[2985] reg4 = 11668825; prev reg4 = 9074893
[2986] reg4 = 6114594; prev reg4 = 11668825
[2987] reg4 = 16526235; prev reg4 = 6114594
[2988] reg4 = 3724580; prev reg4 = 16526235
[2989] reg4 = 10691453; prev reg4 = 3724580
[2990] reg4 = 9203204; prev reg4 = 10691453
[2991] reg4 = 7534538; prev reg4 = 9203204
[2992] reg4 = 11841567; prev reg4 = 7534538
[2993] reg4 = 13574389; prev reg4 = 11841567
[2994] reg4 = 7858981; prev reg4 = 13574389
[2995] reg4 = 7771040; prev reg4 = 7858981
[2996] reg4 = 9142249; prev reg4 = 7771040
[2997] reg4 = 2242940; prev reg4 = 9142249
[2998] reg4 = 9902103; prev reg4 = 2242940
[2999] reg4 = 4748795; prev reg4 = 9902103
[3000] reg4 = 13057666; prev reg4 = 4748795
[3001] reg4 = 9517106; prev reg4 = 13057666
[3002] reg4 = 12976474; prev reg4 = 9517106
[3003] reg4 = 5645605; prev reg4 = 12976474
[3004] reg4 = 4475690; prev reg4 = 5645605
[3005] reg4 = 5957305; prev reg4 = 4475690
[3006] reg4 = 15842891; prev reg4 = 5957305
[3007] reg4 = 11631211; prev reg4 = 15842891
[3008] reg4 = 11268327; prev reg4 = 11631211
[3009] reg4 = 9560543; prev reg4 = 11268327
[3010] reg4 = 11055506; prev reg4 = 9560543
[3011] reg4 = 13241331; prev reg4 = 11055506
[3012] reg4 = 11662246; prev reg4 = 13241331
[3013] reg4 = 14942585; prev reg4 = 11662246
[3014] reg4 = 720316; prev reg4 = 14942585
[3015] reg4 = 1581171; prev reg4 = 720316
[3016] reg4 = 4785901; prev reg4 = 1581171
[3017] reg4 = 14287809; prev reg4 = 4785901
[3018] reg4 = 978008; prev reg4 = 14287809
[3019] reg4 = 14542698; prev reg4 = 978008
[3020] reg4 = 13401021; prev reg4 = 14542698
[3021] reg4 = 3059178; prev reg4 = 13401021
[3022] reg4 = 10162329; prev reg4 = 3059178
[3023] reg4 = 280581; prev reg4 = 10162329
[3024] reg4 = 14592975; prev reg4 = 280581
[3025] reg4 = 1624054; prev reg4 = 14592975
[3026] reg4 = 11504661; prev reg4 = 1624054
[3027] reg4 = 3676977; prev reg4 = 11504661
[3028] reg4 = 15751498; prev reg4 = 3676977
[3029] reg4 = 7572251; prev reg4 = 15751498
[3030] reg4 = 4255062; prev reg4 = 7572251
[3031] reg4 = 14579811; prev reg4 = 4255062
[3032] reg4 = 215575; prev reg4 = 14579811
[3033] reg4 = 14953537; prev reg4 = 215575
[3034] reg4 = 4407463; prev reg4 = 14953537
[3035] reg4 = 7363191; prev reg4 = 4407463
[3036] reg4 = 10851051; prev reg4 = 7363191
[3037] reg4 = 5130939; prev reg4 = 10851051
[3038] reg4 = 5094705; prev reg4 = 5130939
[3039] reg4 = 11939512; prev reg4 = 5094705
[3040] reg4 = 487284; prev reg4 = 11939512
[3041] reg4 = 14983377; prev reg4 = 487284
[3042] reg4 = 14707499; prev reg4 = 14983377
[3043] reg4 = 16578400; prev reg4 = 14707499
[3044] reg4 = 3946863; prev reg4 = 16578400
[3045] reg4 = 7474366; prev reg4 = 3946863
[3046] reg4 = 3136616; prev reg4 = 7474366
[3047] reg4 = 13348458; prev reg4 = 3136616
[3048] reg4 = 10602246; prev reg4 = 13348458
[3049] reg4 = 11124509; prev reg4 = 10602246
[3050] reg4 = 6389794; prev reg4 = 11124509
[3051] reg4 = 572450; prev reg4 = 6389794
[3052] reg4 = 5300918; prev reg4 = 572450
[3053] reg4 = 7934016; prev reg4 = 5300918
[3054] reg4 = 3243764; prev reg4 = 7934016
[3055] reg4 = 2436790; prev reg4 = 3243764
[3056] reg4 = 7006152; prev reg4 = 2436790
[3057] reg4 = 2277521; prev reg4 = 7006152
[3058] reg4 = 15112821; prev reg4 = 2277521
[3059] reg4 = 1257431; prev reg4 = 15112821
[3060] reg4 = 13711278; prev reg4 = 1257431
[3061] reg4 = 8982933; prev reg4 = 13711278
[3062] reg4 = 11976684; prev reg4 = 8982933
[3063] reg4 = 6142745; prev reg4 = 11976684
[3064] reg4 = 10590254; prev reg4 = 6142745
[3065] reg4 = 12823582; prev reg4 = 10590254
[3066] reg4 = 7884184; prev reg4 = 12823582
[3067] reg4 = 5628305; prev reg4 = 7884184
[3068] reg4 = 15809332; prev reg4 = 5628305
[3069] reg4 = 12077643; prev reg4 = 15809332
[3070] reg4 = 9957167; prev reg4 = 12077643
[3071] reg4 = 2582306; prev reg4 = 9957167
[3072] reg4 = 11937235; prev reg4 = 2582306
